,v,vw,o,c,h,l,t,n
61,5123626.0,1966.9637,1964.35,1949.72,1993.02,1944.01,1585627200000,155507
62,4121875.0,1917.9707,1932.97,1907.7,1944.96,1893.0,1585713600000,141417
63,4335985.0,1911.2525,1901.64,1918.83,1927.5258,1890.0,1585800000000,123267
64,3609870.0,1903.6781,1911.15,1906.59,1926.33,1889.15,1585886400000,113599
65,5773181.0,1969.6712,1936.0,1997.59,1998.52,1930.02,1586145600000,160253
66,5113983.0,2017.198,2017.11,2011.6,2035.72,1997.62,1586232000000,158531
67,3977313.0,2028.685,2021.0,2043.0,2044.0,2011.15,1586318400000,127192
68,4655617.0,2036.0721,2044.3,2042.76,2053.0,2017.66,1586404800000,143709
69,6716709.0,2132.0429,2040.0,2168.87,2180.0,2038.0,1586750400000,216597
70,8086753.0,2258.0797,2200.47,2283.32,2292.0,2186.21,1586836800000,259252
71,6866567.0,2294.2983,2257.68,2307.68,2333.369,2245.0,1586923200000,229327
72,12038201.0,2395.7533,2346.0,2408.19,2460.9981,2335.0,1587009600000,381632
73,7930010.0,2361.019,2372.33,2375.0,2400.0,2316.02,1587096000000,277960
74,5770694.0,2410.032,2389.95,2393.61,2444.98,2386.05,1587355200000,204633
75,7476679.0,2343.7498,2416.61,2328.12,2428.3099,2279.66,1587441600000,272679
76,4218097.0,2371.9196,2369.0,2363.49,2394.0,2351.0,1587528000000,140734
77,5066552.0,2403.8015,2399.98,2399.45,2424.22,2382.08,1587614400000,168217
78,3831797.0,2403.2965,2417.0,2410.22,2420.4332,2382.0,1587700800000,137508
79,5645645.0,2401.1231,2443.2,2376.0,2444.88,2363.0,1587960000000,204761
80,5269446.0,2330.3331,2372.1,2314.08,2373.5,2306.0,1588046400000,203377
81,4591593.0,2361.7102,2330.01,2372.71,2391.89,2310.0,1588132800000,175822
82,9534611.0,2422.7562,2419.84,2474.0,2475.0,2396.01,1588219200000,348363
83,9772526.0,2307.1135,2336.8,2286.04,2362.44,2258.1901,1588305600000,410556
84,4863926.0,2301.0094,2256.38,2315.99,2326.98,2256.38,1588564800000,168282
85,3242496.0,2330.7877,2340.0,2317.8,2351.0,2307.1251,1588651200000,128160
86,3117814.0,2341.9484,2329.44,2351.26,2357.45,2320.0,1588737600000,114423
87,3396411.0,2359.8066,2374.78,2367.61,2376.0,2343.11,1588824000000,113393
88,3211228.0,2374.5936,2372.14,2379.61,2387.2449,2357.0,1588910400000,111015
89,3259231.0,2406.1584,2374.7,2409.0,2419.665,2372.11,1589169600000,121012
90,3074916.0,2391.6349,2411.85,2356.95,2418.9999,2355.0,1589256000000,122749
91,4782919.0,2370.066,2366.8,2367.92,2407.7,2337.805,1589342400000,173568
92,3648128.0,2372.1389,2361.01,2388.85,2391.37,2353.21,1589428800000,122971
93,4234951.0,2386.3504,2368.52,2409.78,2411.0,2356.37,1589515200000,136695
94,4366572.0,2416.2301,2404.3456,2426.26,2433.0,2384.01,1589774400000,159846
95,4320494.0,2465.434,2429.83,2449.33,2484.995,2428.97,1589860800000,163871
96,3998143.0,2487.3021,2477.87,2497.94,2500.01,2467.27,1589947200000,140232
97,5111673.0,2472.7888,2500.0,2446.74,2525.45,2442.54,1590033600000,189641
98,2867075.0,2445.07,2455.01,2436.88,2469.85,2430.13,1590120000000,112387
99,3568152.0,2436.0812,2458.0,2421.86,2462.0,2414.06,1590465600000,129659
100,5056876.0,2380.9226,2404.99,2410.39,2413.58,2330.0,1590552000000,191245
